Z,masse_reelle,masse_predite,ecart_pct
1,1.008000,1.008000,0.0000
2,4.002602,3.003790,24.9541
3,6.940000,3.339216,51.8845
4,9.012183,2.075303,76.9723
5,10.810000,2.917566,73.0105
6,12.011000,4.215818,64.9004
7,14.007000,1.794390,87.1893
8,15.999000,5.896421,63.1451
9,18.998403,14.775402,22.2282
10,20.179700,11.370747,43.6525
11,22.989769,19.514558,15.1163
12,24.305000,20.327242,16.3660
13,26.981538,36.349994,34.7217
14,28.085000,8.651939,69.1937
15,30.973762,15.638402,49.5108
16,32.060000,28.430541,11.3208
17,35.450000,13.657112,61.4750
18,39.948000,71.241974,78.3368
19,39.098300,103.128882,163.7682
20,40.078000,54.825884,36.7980
21,44.955908,9.618081,78.6055
22,47.867000,94.092579,96.5709
23,50.941500,53.698578,5.4122
24,51.996100,31.605314,39.2160
25,54.938044,13.663708,75.1289
26,55.845000,175.267338,213.8461
27,58.933194,79.197402,34.3850
28,58.693400,5.977579,89.8156
29,63.546000,7.749473,87.8049
30,65.380000,60.948165,6.7786
31,69.723000,0.270422,99.6121
32,72.630000,19.642511,72.9554
33,74.921595,104.599682,39.6122
34,78.971000,65.849961,16.6150
35,79.904000,8.403586,89.4829
36,83.798000,49.220706,41.2627
37,85.467800,0.118515,99.8613
38,87.620000,497.252470,467.5102
39,88.905840,194.839041,119.1521
40,91.224000,37.878916,58.4770
41,92.906370,0.000058,99.9999
42,95.950000,12.142993,87.3445
43,98.000000,0.008456,99.9914
44,101.070000,65.008069,35.6802
45,102.905500,69.196981,32.7568
46,106.420000,258.916320,143.2967
47,107.868200,0.000001,100.0000
48,112.414000,39.902252,64.5042
49,114.818000,5.168455,95.4986
50,118.710000,53.252114,55.1410
51,121.760000,73.203275,39.8790
52,127.600000,121.091284,5.1009
53,126.904470,0.000000,100.0000
54,131.293000,99.988079,23.8436
55,132.905452,91.391662,31.2356
56,137.327000,16.983704,87.6327
57,138.905470,552.779517,297.9537
58,140.116000,37.365327,73.3326
59,140.907660,0.000000,100.0000
60,144.242000,76.948104,46.6535
61,145.000000,0.000001,100.0000
62,150.360000,1.303884,99.1328
63,151.964000,42.558197,71.9946
64,157.250000,55.808978,64.5094
65,158.925350,170.236310,7.1172
66,162.500000,132.058893,18.7330
67,164.930330,0.000000,100.0000
68,167.259000,45.495392,72.7994
69,168.934220,287.828913,70.3793
70,173.045000,32.751630,81.0733
71,174.966800,0.000000,100.0000
72,178.490000,139.847558,21.6496
73,180.947880,0.000000,100.0000
74,183.840000,0.571440,99.6892
75,186.207000,73.238631,60.6682
76,190.230000,343.549122,80.5967
77,192.217000,56.208585,70.7577
78,195.084000,245.987632,26.0932
79,196.966569,0.000000,100.0000
80,200.592000,107.622875,46.3474
81,204.380000,350.433576,71.4618
82,207.200000,0.000278,99.9999
83,208.980400,0.000000,100.0000
84,209.000000,58.549391,71.9859
85,210.000000,63.959745,69.5430
86,222.000000,0.040770,99.9816
87,223.000000,41.537828,81.3732
88,226.000000,184.703156,18.2729
89,227.000000,0.000000,100.0000
90,232.037700,269.684144,16.2243
91,231.035880,104.700383,54.6822
92,238.028910,178.883927,24.8478
93,237.000000,1.449486,99.3884
94,244.000000,0.000007,100.0000
95,243.000000,482.978897,98.7567
96,247.000000,192.395116,22.1072
97,247.000000,0.000000,100.0000
98,251.000000,24.920536,90.0715
99,252.000000,462.833876,83.6642
100,257.000000,207.541578,19.2445
101,258.000000,0.000000,100.0000
102,259.000000,92.420391,64.3165
103,266.000000,0.000000,100.0000
104,267.000000,344.048712,28.8572
105,268.000000,45.043932,83.1926
106,269.000000,0.000000,100.0000
107,270.000000,0.000000,100.0000
108,277.000000,482.108586,74.0464
109,278.000000,0.000000,100.0000
110,281.000000,356.184355,26.7560
111,282.000000,0.635251,99.7747
112,285.000000,81.889655,71.2668
113,286.000000,0.000000,100.0000
114,289.000000,697.893625,141.4857
115,290.000000,251.484157,13.2813
116,293.000000,25.815508,91.1892
117,294.000000,862.126032,193.2401
118,294.000000,0.000001,100.0000
