domain,file_name,file_size,harmonic_score,syntax_score,content_length,word_count,language,real_mode,processing_timestamp
mathematics,dual_math_generator.py,32976,0.23584423913420816,1.0,32388,2595,python,True,2026-05-08T22:07:41.654065
mathematics,harmonic_hybrid_generator.py,26498,0.23260804986814387,1.0,26183,1871,python,True,2026-05-08T22:07:41.713871
mathematics,harmonic_math_system.py,38421,0.24239222698788437,1.0,37899,2984,python,True,2026-05-08T22:07:41.748234
mathematics,launch_dual_math.py,10832,0.2567718377662704,1.0,10288,947,python,True,2026-05-08T22:07:41.766260
mathematics,launch_hybrid_generation.py,5737,0.22792749643913135,1.0,5484,470,python,True,2026-05-08T22:07:41.817308
mathematics,launch_mathstral_aws.py,7606,0.24835692747949045,1.0,7256,659,python,True,2026-05-08T22:07:41.831399
mathematics,launch_math_generation.py,4182,0.22028007691474533,1.0,4013,339,python,True,2026-05-08T22:07:41.843669
mathematics,mathstral_aws_generator.py,23821,0.23602524629132815,1.0,23461,1816,python,True,2026-05-08T22:07:41.860016
mathematics,README.md,8938,0.19308292276595854,1.0,8205,1077,markdown,True,2026-05-08T22:07:41.873909
mathematics,README_DUAL.md,10526,0.2172750410807932,1.0,9476,1169,markdown,True,2026-05-08T22:07:41.887446
mathematics,README_HYBRID.md,8386,0.19330340252992,1.0,7779,1026,markdown,True,2026-05-08T22:07:41.901499
mathematics,README_MATHSTRAL.md,9635,0.20871289707644952,1.0,8718,1097,markdown,True,2026-05-08T22:07:41.915141
